Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
A Shyam Gopal Varma Film,2015,01-Jan-15,"Comedy, Thriller",C.S. Reddy,"Shafi, Jayaprakash Reddy, Jeeva","When a popular crime film director gets kidnapped, he realizes the plot is thicker than his own films.",Telugu,India,5.9
Gopala Gopala,2015,10-Jan-15,"Comedy, Drama, Fantasy",Kishore Kumar Pardasani,"Venkatesh Daggubati, Pawan Kalyan, Shriya Saran",The film is a remake of the 2012 Hindi film OMG and is about an atheist Gopala Rao who sues god after losing his shop in an earthquake and the consequences face by him when religious organisations revolt against him and Krishna visits him as a human to guide him.,Telugu,India,7.2
Pataas,2015,23-Jan-15,"Action, Comedy, Crime",Anil Ravipudi,"Nandamuri Kalyan Ram, Ashutosh Rana, Sai Kumar","ACP Kalyan Sinha is transfered to Hyderabad. But his negative attitude makes trouble for the Police Department. Why is Kalyan Sinha behaving like this, and is there a hidden agenda in his mind.",Telugu,India,6.5
Beeruva,2015,23-Jan-15,Comedy,Kanmani,"Ajay, Anitha Chowdary, Sundeep Kishan","Sanju, a careless young man, falls head over heels in love with Swathi. He, however, gets more than he bargained for when he learns that she is the daughter of an underworld kingpin.",Telugu,India,5.7
Intelligent Idiots,2015,23-Jan-15,Crime,Balaji Sanala,"Prabhjeet Kaur, Vikram Shekar",,Telugu,India,5.1
Top Rankers,2015,30-Jan-15,Drama,G. Nageswara Rao,"Giri Babu, Sony Charishta, Krishnamraju, Ashok Kumar",A Harsh and strict professor mentally evolves upon the event of his own daughter's suicide to reform as a more considerate individual and henceforth makes himself instrumental in becoming a role model for transforming the education system.,Telugu,India,
Ladies & Gentlemen,2015,30-Jan-15,,P.B. Manjunath,"Bhasha, Jasmin Bhasin, Swathi Deekshith",,Telugu,India,7.3
Dorakadu,2015,06-Feb-15,"Horror, Romance",Vara Prasad Varma,"Ajay, Babu Mohan, Vijaya Bhaskar",,Telugu,India,
Gaddam Gang,2015,06-Feb-15,"Comedy, Crime","Santhosh P. Jayakumar, Santhosh Peter Jaykumar","Achu, Giri Babu, Raghu Babu","Dasu and his gang of newbies, kidnaps a rich politician's son to extract money from him, with his new-found uncanny rules of kidnapping. All his plannings go haywire when an insane cop is brought to handle the case.",Telugu,India,5.4
Malli Malli Idi Rani Roju,2015,06-Feb-15,"Musical, Romance",Kranthi Madhav,"Sharwanand, Nithya Menen, Punarnavi Bhupalam",Malli Malli Idi Rani Roju is a feel good love story which stays within your heart.,Telugu,India,7.5
Moodu Mukkallo Cheppalante,2015,06-Feb-15,Comedy,Madhumita Sundararaman,"Brahmanandam, Aditi Chengappa, Venkatesh Harinathan",,Telugu,India,
Pesarattu,2015,06-Feb-15,"Comedy, Family",Mahesh Kathi,"Nandu Vijay Krishna, Nikitha Narayan",Bhavana is a girl with commitment phobia wants to escape her engagement. What she does to escape her engagement and the confusion spiraling as a result drives the plot for this movie.,Telugu,India,2.9
Temper,2015,12-Feb-15,"Action, Crime, Drama",Puri Jagannadh,"N.T. Rama Rao Jr., Kajal Aggarwal, Prakash Raj","Daya (NTR) is a fully corrupted police officer who gets transferred to Vizag. There he joins hands with Walter Vasu(Prakash Raj)and treads the corruption route.Twist in the tale arises when Daya girlfriend(Kajal) gets accidentally kidnapped by Walter Vasu.This incident makes Daya very angry and he goes against Vasu and his empire.During this time, Daya also comes to know that there is a bigger motive behind this kidnapping. What is that motive and will Daya manage to find out the truth and punish the culprits forms the rest of the story.",Telugu,India,7.4
Paddanandi Premalo Mari,2015,14-Feb-15,Drama,Mahesh Upputuri,"Krishna Murali Posani, Varun Sandesh, Vithika Sheru",Ram falls in love with Sravani. But a rowdy villain wants to marry her and is after her. How will Ram help Sravani escape from this villain?,Telugu,India,
Bandipotu,2015,20-Feb-15,"Comedy, Crime, Drama",Mohana Krishna Indraganti,"Srinivas Avasarala, Sampoornesh Babu, Tanikella Bharani",A woman with the help of a con man avenges her father's backstabbers.,Telugu,India,6.3
Nuvvu Nenu Okatavudaam,2015,20-Feb-15,Romance,,"Banerjee, Chalaki Chanti, Haleem Khan, Tagubotu Ramesh",,Telugu,India,
Gayakudu,2015,01-Feb-15,Musical,Kamal G,"Guru Charan Kodur, Sai Pradeep Mocherla, Ali Reza","Gayakudu is a Telugu angsty teenager romantic love story. Siddhansh, the winner of Indian Idol and a singer. Eventhough after achieving alot of fame and money, he suffered with lack of love since his childhood. He will fall in love with Akshara who become a big fan of Siddhansh the singer and a brand new friend to Siddhu. She showers the love he has been craving for, but doesnt accepts his love.",Telugu,India,5.2
Bham Bolenath,2015,27-Mar-15,,Karthik Varma Dandu,"Akella, Boby, Naveen Chandra","The story of the film depicts the individual lives of two young men played by Navdeep and Naveen Chandra. Each of them have their own problems and need money to come out of it. They try different things but fail with each attempt. Loosing no hope, each of them plan a huge robbery and somehow succeed in it. Twist in the tale arises when a drug addict played by Pradeep Machiraju enters their life and creates havoc. Rest of the story is about how the entire confusion is cleared and how they come out of this mess successfully.",Telugu,India,6.4
Ramleela,2015,12-Nov-15,"Comedy, Drama",Vijay Kiran,"Chiranjeevi Sarja, Amulya, Urvashi","Ram helps a couple elope. It turns out that the girl is the daughter of a dreaded don. Through his misadventures, he falls in love with Chandrakala, who happens to be the don's other sister. All hell breaks loose when he finds out this truth.",Kannada,India,5.8
Surya vs. Surya,2015,06-Mar-15,Drama,Karthik Gattamneni,"Nikhil Siddharth, Tridha Choudhury, Madhoo","The film story revolves around a young man Surya (Nikhil Siddharth) who suffers with a heriditary disorder Porphyria, that prevents him from going outside during the day and enjoying the beauty of life during daytime. He is raised by his mom Madhoo. Additionally, he falls in love with a Tv anchor (Tridha Choudary). Be that as it may he doesn't advise about his medicinal condition to her as he reasons for alarm that she may respond contrarily. She feels sold out when she comes to think about it through others. Rest of the story is about how Surya picks up certainty and wins his affection back.",Telugu,India,6.6
Anandam Malli Modalaindi,2015,06-Mar-15,Drama,Akash,"Satyam Rajesh, Tagubotu Ramesh, Jayaprakash Reddy",,Telugu,India,
Tommy,2015,13-Mar-15,Comedy,Raja Vannem Reddy,"Lakshmi Alapati, Madhu Babu, Raghu Babu","A professor, Rajendra Prasad adapts a dog (Tommy) and Tommy becomes a member of the family in a short time. An untoward incident changes the family's life upside down. Tommy has a major role to perform since then. The way the dog has been trained to perform in the film is superb. All the scenes featuring the dog and Rajendra Prasad are quite emotional and have been executed well.",Telugu,India,7.6
Thappatadugu,2015,13-Mar-15,Drama,Sri Arun,"Naveena Jackson, Surabhi Swathi, Surya Teja",,Telugu,India,
Calling Bell,2015,21-Mar-15,Horror,PannaRoyal,"Sankeerth Maddipatla, Ravi Varma, Kishore Kumar G.","Newly married couple Karthik(Ravi Varma), Vyshali(Mamatha) leading their married life very happily in their villa. Suddenly Karthik realizes that she is not his wife, he is living with a ghost. Karthik with the help of Swamy(Gandhi) buried her in the garden . With out Karthik's knowledge Vishal (Naresh Kaveti) brother of Karthik and his four friends Riya(Vriti Khanna), Amar(Sankeerth), Nisha(Lucky), Harsha(Vamsee Ram) enter in to Karthik's villa to enjoy their vacation. After entering in to the villa they began to face some mysterious incidents. What are those incidents. How they faced it.",Telugu,India,6.9
Tungabhadra,2015,,Drama,Srinivas Krishna Gogineni,"Kota Srinivasa Rao, Sathyaraj, Thrigun","In a village infested with faction rivalry, the daughter of a factionist falls in love with a henchman of her father. Will their love fructify?",Telugu,India,5.8
Yevade Subramanyam,2015,20-Mar-15,"Adventure, Comedy, Drama",Nag Ashwin,"Nani, Malvika Nair, Vijay Deverakonda","Yevade Subramanyam has wrapped its shooting and the movie is reported to be the only Indian film to be shot at some of the highest points of Everest. Directed by Sekar Kammula's protege Nag Ashwin, Yevade Subramanyam is the journey of a guy who sets out to find his true self.",Telugu,India,7.4
Janda Pai Kapiraju,2015,21-Mar-15,"Action, Thriller",Samuthirakani,"Baby Angela, Siva Balaji, Tanikella Bharani","Arvind Nani who came to the city from a rural area, is a naive employee in a company. He cannot tolerate corruption, bribery, breaking rules, lavishness and the urban culture of youth in cities. He is caught by traffic police for a minor mistake though not of his own. Although he has all documents with him, he is asked a bribe by traffic policeman. When he refuses to pay the bribe, a complaint is booked against him and he is sentenced by the court, even though he complains about the bribe. Finally he does a sting operation with 2 of his friends and 10 honest employees in various government offices by applying for identy cards like PAN card, voter card, ration card for an anonymous person.",Telugu,India,6
